"시점","항목",계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
"2003","합계:생산량:조곡 (톤)",6151202,3518,25552,26543,110595,47013,15066,40736,-,699421,271560,342593,1113923,926917,1205052,780888,538970,2855
"2003","논벼:면적 (ha)",1001519,572,4887,5243,16477,7962,2421,7995,-,114372,44719,56592,169428,147411,194158,133829,95368,85
"2003","논벼:10a당 생산량 (kg)",609,615,523,505,671,581,622,508,-,611,606,605,661,626,602,583,564,566
"2003","논벼:조곡:생산량 (톤)",6101746,3518,25550,26460,110493,46294,15062,40608,-,698368,270947,342269,1111825,923318,1169355,779653,537545,481
"2003","밭벼:면적 (ha)",14511,0,1,30,31,197,1,58,-,319,233,94,479,1094,10199,449,663,663
"2003","밭벼:10a당 생산량 (kg)",341,0,215,275,330,365,438,221,-,330,263,345,438,329,350,275,215,358
"2003","밭벼:조곡:생산량 (톤)",49456,0,2,83,102,719,4,128,-,1053,613,324,2098,3599,35697,1235,1425,2374
"2004","합계:면적 (ha)",1001159,479,4609,4923,16478,8113,2343,7691,-,111093,43838,55232,168336,146598,204401,132085,93869,1071
"2004","합계:생산량:조곡 (톤)",6736925,3061,29684,31839,111741,52485,15971,49139,-,725518,276378,365323,1207975,1053034,1304617,889977,615791,4392
"2004","논벼:면적 (ha)",983560,479,4605,4891,16433,7853,2343,7629,-,110766,43646,55045,167878,145286,191849,131628,93168,61
"2004","논벼:10a당 생산량 (kg)",679,639,644,649,679,661,682,642,-,654,632,663,723,722,659,675,659,626
"2004","논벼:조곡:생산량 (톤)",6680137,3061,29674,31744,111609,51923,15971,48973,-,724557,275767,364712,1206051,1048429,1264576,888620,614088,382
"2004","밭벼:면적 (ha)",17599,0,4,32,45,260,0,62,-,327,192,187,458,1312,12552,457,701,1010
"2004","밭벼:10a당 생산량 (kg)",323,0,243,297,294,216,0,268,-,294,318,327,420,351,319,297,243,397
